Game,	Server,	Faction
4Story,	BR Kalinor,	Derion
4Story,	BR Kalinor,	Valorian
4Story,	BR Lapiris,	Derion
4Story,	BR Lapiris,	Valorian
4Story,	CZ Kalinor,	Derion
4Story,	CZ Kalinor,	Valorian
4Story,	CZ Lapiris,	Derion
4Story,	CZ Lapiris,	Valorian
4Story,	CZ Xhadra,	Derion
4Story,	CZ Xhadra,	Valorian
4Story,	DE Kalinor,	Derion
4Story,	DE Kalinor,	Valorian
4Story,	DE Lapiris,	Derion
4Story,	DE Lapiris,	Valorian
4Story,	DE Pendatron,	Derion
4Story,	DE Pendatron,	Valorian
4Story,	DE Rumapark,	Derion
4Story,	DE Rumapark,	Valorian
4Story,	DE Titurion,	Derion
4Story,	DE Titurion,	Valorian
4Story,	DE Xhadra,	Derion
4Story,	DE Xhadra,	Valorian
4Story,	ENDENDROS,	Derion
4Story,	ENDENDROS,	Valorian
4Story,	ES Kalinor,	Derion
4Story,	ES Kalinor,	Valorian
4Story,	ES Lapiris,	Derion
4Story,	ES Lapiris,	Valorian
4Story,	ES Xhadra,	Derion
4Story,	ES Xhadra,	Valorian
4Story,	FR Kalinor,	Derion
4Story,	FR Kalinor,	Valorian
4Story,	FR Lapiris,	Derion
4Story,	FR Lapiris,	Valorian
4Story,	FR Xhadra,	Derion
4Story,	FR Xhadra,	Valorian
4Story,	GR Server1,	Derion
4Story,	GR Server1,	Valorian
4Story,	HU Server1,	Derion
4Story,	HU Server1,	Valorian
4Story,	IT Kalinor,	Derion
4Story,	IT Kalinor,	Valorian
4Story,	IT Lapiris,	Derion
4Story,	IT Lapiris,	Valorian
4Story,	IT Xhadra,	Derion
4Story,	IT Xhadra,	Valorian
4Story,	PL Aderia,	Derion
4Story,	PL Aderia,	Valorian
4Story,	PL Mortal,	Derion
4Story,	PL Mortal,	Valorian
4Story,	PT Server1,	Derion
4Story,	PT Server1,	Valorian
4Story,	RO Server1,	Derion
4Story,	RO Server1,	Valorian
4Story,	TR Server1,	Derion
4Story,	TR Server1,	Valorian
4Story,	UK Kalinor,	Derion
4Story,	UK Kalinor,	Valorian
4Story,	UK Server1,	Derion
4Story,	UK Server1,	Valorian
4Story,	US Kalinor,	Derion
4Story,	US Kalinor,	Valorian
4Story,	US Lapiris,	Derion
4Story,	US Lapiris,	Valorian
9 Dragons,	TAO
9 Dragons,	XIAOLONG-DE
9 Dragons,	YANG
9 Dragons,	YIN
Aion Classic,	EU,	Atreia - Asmodian
Aion Classic,	EU,	Atreia - Elyos
Aion Classic,	EU,	Tahabata - Asmodian
Aion Classic,	EU,	Tahabata - Elyos
Aion Classic,	NA,	Siel - Asmodian
Aion Classic,	NA,	Siel - Elyos
Aion Online,	EU,	Odin-Asmodians
Aion Online,	EU,	Odin-Elyos
Aion Online,	EU,	Ragnarok-Asmodians
Aion Online,	EU,	Ragnarok-Elyos
Aion Online,	EU,	Sillus-Asmodians
Aion Online,	EU,	Sillus-Elyos
Aion Online,	EU,	Stormwing-Asmodians
Aion Online,	EU,	Stormwing-Elyos
Aion Online,	NA,	Danaria-Asmodians
Aion Online,	NA,	Danaria-Elyos
Aion Online,	NA,	Ereshkigal-Asmodians
Aion Online,	NA,	Ereshkigal-Elyos
Aion Online,	NA,	Katalam-Asmodians
Aion Online,	NA,	Katalam-Elyos
Albion Online,	Albion Americas
Albion Online,	Albion Asia
Albion Online,	Albion Europe
Animal Crossing: New Horizons,	Nintendo Switch
Animal Jam,	Main Server
Anime Defenders,	Main Server
APB Reloaded,	Citadel,	Criminal
APB Reloaded,	Citadel,	Enforcer
Arcane Legends,	All Server
ArcheAge Unchained,	EU-Arcadian
ArcheAge Unchained,	EU-Ardenia
ArcheAge Unchained,	EU-Nehiya
ArcheAge Unchained,	NA-Kraken
ArcheAge Unchained,	NA-Kyrios
ArcheAge Unchained,	NA-Stormraw
Aura Kingdom,	Alucard
Aura Kingdom,	Astraea
Aura Kingdom,	Gaia
